Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,target
,903427090,-178.015893760329,RM,,5100.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8.0,,1925.0,1996.0,Hip,CompShg,Stucco,Wd Shng,,0.0,TA,Gd,PConc,TA,TA,No,Unf,0.0,Unf,0.0,588.0,,GasA,Fa,Y,SBrkr,,833.0,0.0,1666.0,0.0,,1.0,0.0,,1.0,Gd,7.0,Typ,1.0,Gd,Detchd,1925.0,Unf,1.0,,TA,TA,Y,,,,0.0,0.0,0.0,,MnPrv,,,6.0,2008.0,WD ,Normal,161000
2368.0,527450460,160.0,RM,21.0,1890.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6.0,7.0,,1972.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,380.0,TA,TA,CBlock,TA,TA,No,ALQ,282.0,Unf,,,,GasA,Ex,Y,SBrkr,494.0,536.0,0.0,1030.0,0.0,0.0,1.0,1.0,,1.0,TA,,Typ,0.0,,Detchd,,Unf,,264.0,TA,TA,Y,0.0,0.0,0.0,,,,,,,,7.0,,WD ,Normal,116000
2823.0,908128100,,RL,62.0,,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,2Story,7.0,5.0,,2004.0,Hip,CompShg,HdBoard,Stucco,BrkFace,,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,796.0,796.0,GasA,Ex,Y,SBrkr,,918.0,0.0,1724.0,,0.0,2.0,1.0,3.0,,Gd,8.0,Typ,1.0,Gd,BuiltIn,2003.0,Fin,2.0,616.0,TA,TA,Y,168.0,57.0,0.0,,0.0,0.0,,,,,,2006.0,WD ,Normal,196500
2127.0,907135180,20.0,RL,60.0,8070.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,4.0,5.0,1994.0,1995.0,Gable,CompShg,VinylSd,VinylSd,,,TA,TA,PConc,Gd,TA,No,GLQ,,Unf,0.0,402.0,,GasA,Ex,Y,SBrkr,990.0,,0.0,990.0,,0.0,1.0,0.0,3.0,1.0,TA,,Typ,0.0,,,,,,,,,Y,0.0,0.0,,0.0,0.0,-167.5295226762741,,,,0.0,8.0,2007.0,WD ,Normal,123600
1545.0,910200080,30.0,RM,,7000.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,6.0,8.0,,1998.0,Gable,CompShg,VinylSd,VinylSd,,,TA,Gd,BrkTil,TA,TA,No,Rec,299.0,GLQ,,555.0,894.0,GasA,TA,Y,SBrkr,919.0,0.0,0.0,919.0,,0.0,1.0,0.0,2.0,1.0,TA,,Typ,0.0,,Detchd,,Unf,1.0,,TA,TA,P,-469.7920973771289,0.0,116.0,0.0,,,,MnPrv,,,,2008.0,WD ,Normal,126000
2416.0,528221010,20.0,RL,,11660.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6.0,5.0,2006.0,,Gable,CompShg,VinylSd,VinylSd,,,Gd,TA,PConc,Gd,TA,Av,Unf,,Unf,0.0,1326.0,1326.0,GasA,Ex,Y,SBrkr,,0.0,0.0,1326.0,0.0,0.0,2.0,0.0,,1.0,Gd,6.0,Typ,0.0,,Attchd,,Fin,2.0,427.0,TA,TA,Y,100.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,20.711130808553364,2006.0,New,Partial,174190
2228.0,909455060,120.0,RM,35.0,,Pave,,IR1,Bnk,AllPub,Inside,Mod,Blueste,Norm,Norm,TwnhsE,1Story,,5.0,1988.0,1988.0,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,577.0,Unf,,427.0,,GasA,Gd,Y,SBrkr,1020.0,0.0,0.0,4249.57633327845,1.0,0.0,1.0,0.0,1.0,,TA,,Typ,,,Attchd,,Unf,2.0,509.0,TA,TA,Y,135.0,0.0,,,0.0,0.0,,,,0.0,,2007.0,WD ,Normal,200000
411.0,527453060,,RL,188.7414793334639,2280.0,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6.0,6.0,1976.0,1976.0,Gable,CompShg,Plywood,Brk Cmn,,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,2836.133187882008,Unf,0.0,289.0,855.0,GasA,TA,Y,SBrkr,855.0,601.0,0.0,1456.0,0.0,0.0,2.0,1.0,3.0,1.0,TA,7.0,Typ,1.0,TA,Attchd,1976.0,Unf,2.0,440.0,TA,TA,Y,87.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,2009.0,WD ,Normal,148500
,904100190,20.0,RL,50.0,,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,4.0,9.0,1946.0,2001.0,Gable,CompShg,MetalSd,MetalSd,,859.8844378579166,TA,Gd,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,560.0,560.0,GasA,Ex,Y,FuseA,-555.0979682483915,0.0,0.0,704.0,0.0,1.0,1.0,0.0,,,Fa,4.0,Typ,,,CarPort,,Unf,1.0,220.0,TA,TA,Y,,,24.0,,0.0,,,,,0.0,9.0,2009.0,WD ,Normal,88750
437.0,528118060,60.0,RL,59.0,23303.0,Pave,,IR3,Lvl,AllPub,CulDSac,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8.0,5.0,2007.0,2007.0,Gable,CompShg,VinylSd,VinylSd,Stone,20.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1230.0,Unf,,278.0,1508.0,GasA,Ex,Y,SBrkr,1508.0,,0.0,2520.0,,,2.0,,,1.0,Ex,10.0,Typ,3.709327020859059,Gd,BuiltIn,2007.0,Fin,6.470895471140668,640.0,TA,TA,Y,192.0,273.0,0.0,0.0,,,,,,0.0,6.0,2009.0,WD ,Family,409900
