Manufacturer,Model,Type,Min.Price,target,Max.Price,MPG.city,MPG.highway,AirBags,DriveTrain,Cylinders,EngineSize,Horsepower,RPM,Rev.per.mile,Man.trans.avail,Fuel.tank.capacity,Passengers,Length,Wheelbase,Width,Turn.circle,Rear.seat.room,Luggage.room,Weight,Origin,Make
Honda,Prelude,Sporty,17.0,19.8,22.7,24.0,,Driver & Passenger,Front,4,,160.0,,2855.0,Yes,15.9,-0.7465210791197823,175.0,100.0,70,,23.5,8.0,2865.0,non-USA,Honda Prelude
Dodge,Colt,Small,7.9,9.2,10.6,29.0,33.0,,Front,4,,92.0,6000.0,3285.0,Yes,,,174.0,98.0,66,32.0,26.5,11.0,2270.0,USA,Dodge Colt
Mazda,MPV,Van,16.6,19.1,21.7,18.0,24.0,,4WD,6,3.0,,5000.0,2240.0,No,19.6,7.0,190.0,110.0,72,,27.5,,3735.0,non-USA,Mazda MPV
Pontiac,LeMans,Small,8.2,9.0,9.9,31.0,,,Front,4,,74.0,5600.0,3130.0,Yes,13.2,4.0,177.0,142.773540841269,66,35.0,25.5,17.0,2350.0,USA,Pontiac LeMans
Acura,Integra,Small,12.9,15.9,18.8,25.0,31.0,,Front,4,,,6300.0,2890.0,Yes,,-0.7465210791197823,177.0,102.0,68,37.0,,-2.5664909743183504,2705.0,non-USA,Acura Integra
Dodge,Dynasty,Midsize,14.8,15.6,,,27.0,Driver only,Front,4,2.5,100.0,4800.0,2465.0,No,,6.0,192.0,105.0,69,22.791886299740177,30.5,,3080.0,USA,Dodge Dynasty
Geo,Storm,Sporty,11.5,12.5,,30.0,36.0,Driver only,Front,4,1.6,90.0,5400.0,3250.0,Yes,12.4,,164.0,,67,,,11.0,134.20762819189486,non-USA,Geo Storm
Oldsmobile,Achieva,Compact,13.0,13.5,,24.0,31.0,,Front,4,2.3,,6000.0,2380.0,No,15.2,5.0,188.0,103.0,67,,,14.0,,USA,Oldsmobile Achieva
Cadillac,Seville,Midsize,,40.1,42.7,16.0,,Driver & Passenger,Front,8,4.6,295.0,6000.0,1985.0,No,,,,111.0,74,44.0,31.0,,3935.0,USA,Cadillac Seville
Hyundai,Elantra,Small,9.0,10.0,11.0,22.0,29.0,,Front,4,1.8,124.0,,2745.0,Yes,13.7,5.0,95.3213682253188,98.0,66,36.0,,12.0,2620.0,non-USA,Hyundai Elantra
Toyota,Tercel,Small,,9.8,83.73808031560962,32.0,3.678601402056316,Driver only,Front,4,1.5,82.0,,,Yes,11.9,5.0,162.0,94.0,65,36.0,24.0,11.0,2055.0,non-USA,Toyota Tercel
Ford,Aerostar,Van,14.5,19.9,25.3,15.0,20.0,Driver only,4WD,6,3.0,,,2080.0,Yes,21.0,7.0,,119.0,72,45.0,30.0,,3735.0,USA,Ford Aerostar
Volkswagen,Corrado,Sporty,22.9,23.3,,,,,Front,6,,178.0,5800.0,,Yes,18.5,4.0,,,66,36.0,26.0,15.0,,non-USA,Volkswagen Corrado
Mitsubishi,Diamante,Midsize,22.4,26.1,29.9,18.0,24.0,Driver only,Front,6,3.0,202.0,6000.0,2210.0,No,,5.0,190.0,,70,43.0,27.5,14.0,3730.0,non-USA,Mitsubishi Diamante
Chevrolet,Corsica,Compact,11.4,11.4,11.4,25.0,34.0,Driver only,Front,4,2.2,-112.71581885008499,5200.0,,Yes,,5.0,,,68,39.0,,14.0,2785.0,USA,Chevrolet Corsica
BMW,535i,Midsize,23.7,30.0,,22.0,30.0,Driver only,Rear,4,3.5,208.0,5700.0,,Yes,21.1,4.0,186.0,109.0,69,,27.0,,,non-USA,BMW 535i
Chevrolet,Corvette,Sporty,34.6,38.0,41.5,17.0,,Driver only,Rear,8,5.7,300.0,5000.0,,Yes,20.0,,179.0,96.0,74,,44.969889536753016,,3380.0,USA,Chevrolet Corvette
Eagle,Summit,Small,7.9,12.2,16.5,,33.0,,Front,4,,,6000.0,2505.0,Yes,13.2,,174.0,98.0,66,36.0,44.969889536753016,11.0,2295.0,USA,Eagle Summit
Lexus,SC300,Midsize,34.7,35.2,35.6,18.0,,Driver & Passenger,Rear,6,3.0,225.0,,,Yes,,4.0,,,71,22.791886299740177,25.0,9.0,3515.0,non-USA,Lexus SC300
Nissan,Quest,Van,,19.1,,17.0,23.0,,Front,6,,151.0,4800.0,2065.0,No,20.0,7.0,,112.0,74,41.0,27.0,,4100.0,non-USA,Nissan Quest
