Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,target,Rating color,Rating text,Votes
3918,Wah Ji Wah,1.0,New Delhi,"B-6/1, Double Story, Near Metro Pillar 371, Ramesh Nagar, Kirti Nagar, New Delhi",Kirti Nagar,"Kirti Nagar, New Delhi",77.1284425,28.6517775,North Indian,350.0,Indian Rupees(Rs.),No,No,No,No,1.0,2.1,Red,Poor,
18408054,19 Flavours Biryani,,Gurgaon,"Global Foyer Mall, Sector 43, Golf Course Road, Gurgaon","Global Foyer Mall, Golf Course Road","Global Foyer Mall, Golf Course Road, Gurgaon",232.139561662814,,"Mughlai, Hyderabadi",700.0,Indian Rupees(Rs.),No,Yes,No,No,,4.1,Green,Very Good,84.0
309693,Andaaz E Paranthas,1.0,Noida,"306, 2nd Floor, Food Court, Spice World Mall, Sector 25, Noida","Spice World Mall, Sector 25","Spice World Mall, Sector 25, Noida",77.3404494,28.5854737,"North Indian, Mughlai",550.0,Indian Rupees(Rs.),No,No,No,No,2.0,3.2,Orange,Average,
18157386,Tony's,,New Delhi,"C-23, Single Storey, Vijay Nagar, New Delhi",Vijay Nagar,"Vijay Nagar, New Delhi",77.201128,28.6919997,Fast Food,200.0,Indian Rupees(Rs.),No,Yes,No,No,,4.4,Green,Very Good,163.0
18396163,Yummy Adda,1.0,New Delhi,"1333, Near Batra Cinema, Mukherjee Nagar, New Delhi",Mukherjee Nagar,"Mukherjee Nagar, New Delhi",77.21613,28.7120622,"North Indian, Mughlai",400.0,Indian Rupees(Rs.),No,No,No,No,1.0,3.5,Yellow,Good,
18449643,Tea Point,,New Delhi,"Opposite Batra Cinema Complex, Mukherjee Nagar",Mukherjee Nagar,"Mukherjee Nagar, New Delhi",77.2146844,-42.206274079274976,"Beverages, Fast Food",150.0,Indian Rupees(Rs.),No,No,No,No,1.0,0.0,White,Not rated,0.0
2204,Rainbows,1.0,New Delhi,"Shop 3, D Block Market, Community Centre, Vasant Vihar, New Delhi",Vasant Vihar,"Vasant Vihar, New Delhi",,28.56157466,"Bakery, Fast Food",-37177.57166143142,Indian Rupees(Rs.),No,Yes,No,No,1.0,3.2,Orange,Average,28.0
304771,Bansiwala Sweets,,Gurgaon,"Sector 5 Chowk, Palam Vihar Road, Palam Vihar, Gurgaon",Palam Vihar,"Palam Vihar, Gurgaon",77.0197677,28.4859483,"Street Food, Mithai",100.0,Indian Rupees(Rs.),No,No,No,No,,0.0,White,Not rated,
18303845,Green Restaurant,1.0,Noida,"Shop 2, Sharma Market, Sector 37, Noida",Sector 37,"Sector 37, Noida",77.3408326,,"North Indian, Chinese, Mughlai",400.0,Indian Rupees(Rs.),No,Yes,No,No,1.0,3.6,Yellow,Good,47.0
18420454,Me Kong Bowl,1.0,Gurgaon,"G229, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",77.0796953,28.460726,Asian,700.0,Indian Rupees(Rs.),No,Yes,No,No,2.0,4.0,Green,Very Good,
18383447,Drifters Cafe,,Gurgaon,"Club 5, Club Drive, DLF Phase 5, Gurgaon",DLF Phase 5,"DLF Phase 5, Gurgaon",,,"Chinese, Thai, Asian",400.0,Indian Rupees(Rs.),No,Yes,No,No,1.0,3.9,Yellow,Good,40.0
18455547,Jiya Amritsari Naan,1.0,New Delhi,"Subhash Nagar, New Delhi",Subhash Nagar,"Subhash Nagar, New Delhi",,28.634274,North Indian,200.0,Indian Rupees(Rs.),No,No,No,No,1.0,0.0,White,Not rated,
18372668,Tandoori KnockOuts,,Gurgaon,"A 224, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4","Supermart 1, DLF Phase 4, Gurgaon",,-42.206274079274976,"Fast Food, North Indian",500.0,Indian Rupees(Rs.),No,Yes,No,No,2.0,4.2,Green,Very Good,112.0
18431158,Chocolate Fountain,1.0,Noida,"Food Court, 3rd Floor, Great India Palace Mall, Sector 38, Noida","The Great India Place, Sector 38","The Great India Place, Sector 38, Noida",77.3253979,,Desserts,150.0,Indian Rupees(Rs.),No,No,No,No,1.0,0.0,White,Not rated,1.0
18057825,Kay's Chik-In,1.0,New Delhi,"G-3, Vardhman Royal Plaza, Gujranwala Town Part 1, Gujranwala Town , New Delhi",Gujranwala Town,"Gujranwala Town, New Delhi",77.1897181,28.701475,North Indian,650.0,Indian Rupees(Rs.),No,No,No,No,,2.6,Orange,Average,7.0
303743,Chinar Junction,1.0,Gurgaon,"Late Atul Kataria Chowk, Sector 14, Gurgaon",Sector 14,"Sector 14, Gurgaon",77.04808339,28.48038451,"North Indian, Chinese",600.0,Indian Rupees(Rs.),No,No,No,No,2.0,2.8,Orange,Average,
18270976,Tea Villa Cafe,1.0,Mumbai,"28, Aaram Nagar 1, Opposite Dariya Mahal, Versova, Andheri West","Versova, Andheri West","Versova, Andheri West, Mumbai",,19.1311405,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",1000.0,Indian Rupees(Rs.),Yes,Yes,No,No,3.0,4.1,Green,Very Good,1295.0
311336,Veggie-Licious,1.0,New Delhi,"G-6, GS Arcade, Pocket B, Behind State Bank of India, Mayur Vihar Phase 2, New Delhi",Mayur Vihar Phase 2,"Mayur Vihar Phase 2, New Delhi",77.3011572,28.6192865,"North Indian, Chinese, Continental, Fast Food",,Indian Rupees(Rs.),No,Yes,No,No,,3.6,Yellow,Good,100.0
18450934,The Grillz & Gravy,,Faridabad,"3G/1, NIT, Faridabad",NIT,"NIT, Faridabad",77.2922781,-42.206274079274976,"North Indian, Chinese",400.0,Indian Rupees(Rs.),No,No,No,No,,0.0,White,Not rated,
18466420,Chaudhary Chaap & Chinese,1.0,Faridabad,"Shop 137, Huda Market, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad",77.3187017,,"Chinese, North Indian",300.0,Indian Rupees(Rs.),No,No,No,No,1.0,0.0,White,Not rated,0.0
1414,Anupama Sweets & Family Restaurant,1.0,Faridabad,"SCF 3, Ashoka Enclave Part 1, Near Kanishka Tower, Sector 34, Faridabad",Sector 34,"Sector 34, Faridabad",,28.4718644,"Mithai, North Indian, South Indian, Chinese, Fast Food",,Indian Rupees(Rs.),No,Yes,No,No,,2.7,Orange,Average,28.0
300907,Happy Hakka,1.0,Noida,"149, Jaipuria Plaza, Sector 26, Noida","Jaipuria Plaza, Sector 26, Noida","Jaipuria Plaza, Sector 26, Noida, Noida",77.3353591,28.5764845,"Chinese, Asian, Thai",,Indian Rupees(Rs.),No,Yes,No,No,2.0,3.6,Yellow,Good,582.0
312142,The Biryani Co.,,New Delhi,"1/33, Satyaniketan, New Delhi",Satyaniketan,"Satyaniketan, New Delhi",77.1706691,28.5871376,"Hyderabadi, Biryani, North Indian",650.0,Indian Rupees(Rs.),No,Yes,No,No,,4.2,Green,Very Good,295.0
18432940,LaBontí©,1.0,New Delhi,"M-22, Ground Floor, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Greater Kailash (GK) 2, New Delhi",77.2420436,,Bakery,,Indian Rupees(Rs.),No,No,No,No,2.0,3.4,Orange,Average,17.0
900533,Paragon,1.0,Kochi,"F 82-83, Level 1, LuLu Mall, NH-17, Entrance Road, Edapally Junction, Edappally, Kochi","LuLu Mall, Edappally","LuLu Mall, Edappally, Kochi",,,"Kerala, South Indian, Continental, North Indian, Seafood, Chinese",900.0,Indian Rupees(Rs.),No,No,No,No,2.0,4.3,Green,Very Good,722.0
304994,F 2 Pastry Shop,1.0,New Delhi,"4 Post Office Block, Near Rupa Ice Cream Parlour, Krishna Nagar, New Delhi",Krishna Nagar,"Krishna Nagar, New Delhi",77.2812826,,"Bakery, Fast Food",,Indian Rupees(Rs.),No,No,No,No,1.0,3.3,Orange,Average,26.0
301214,Chawla's,1.0,New Delhi,"13/41, Geeta Colony, New Delhi",Geeta Colony,"Geeta Colony, New Delhi",77.2743231,,"North Indian, Mughlai, Chinese",800.0,Indian Rupees(Rs.),No,No,No,No,,3.3,Orange,Average,50.0
5927,Aggarwal Sweets & Restaurant,1.0,Gurgaon,"B-89, Vyaapar Kendra, Palam Vihar, Gurgaon","Vyapar Kendra, Palam Vihar","Vyapar Kendra, Palam Vihar, Gurgaon",232.139561662814,,Mithai,100.0,Indian Rupees(Rs.),No,No,No,No,1.0,0.0,White,Not rated,0.0
18238241,Nazeer Foods,1.0,New Delhi,"Shop 71, Desh Bandu Gupta Road, Opposite PP Jewelers, Karol Bagh, New Delhi",Karol Bagh,"Karol Bagh, New Delhi",77.1941204,,"Mughlai, North Indian",600.0,Indian Rupees(Rs.),No,Yes,No,No,2.0,3.5,Yellow,Good,27.0
3118,U Like,1.0,New Delhi,"3083, Raj Guru Road, Chuna Mandi, Paharganj, New Delhi",Paharganj,"Paharganj, New Delhi",77.21109062,28.64525804,North Indian,600.0,Indian Rupees(Rs.),No,No,No,No,2.0,3.0,Orange,Average,16.0
18354650,Urban Gala,1.0,New Delhi,"1st Floor, The India Mall, New Friends Colony, New Delhi","The India Mall, New Friends Colony","The India Mall, New Friends Colony, New Delhi",77.26885669,28.56179522,"Chinese, Cafe",700.0,Indian Rupees(Rs.),No,No,No,No,2.0,2.8,Orange,Average,
3497,Green Chick Chop,1.0,New Delhi,"56, Khanna Market, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi",,28.5829457,"Raw Meats, North Indian, Fast Food",350.0,Indian Rupees(Rs.),No,No,No,No,,2.9,Orange,Average,12.0
18469938,BED,1.0,New Delhi,"2nd Floor, N-17, N Block Market, Greater Kailash (GK) 1, New Delhi",Greater Kailash (GK) 1,"Greater Kailash (GK) 1, New Delhi",77.2328365,28.5564122,"European, Sushi, Italian",2700.0,Indian Rupees(Rs.),Yes,No,No,No,4.0,3.0,Orange,Average,9.0
18457856,Food Town,1.0,Noida,"Shop 12, A Block, Sector 31, Noida",Sector 31,"Sector 31, Noida",,-42.206274079274976,"Chinese, North Indian, South Indian",250.0,Indian Rupees(Rs.),No,No,No,No,1.0,0.0,White,Not rated,0.0
9670,Shree Rathnam,,New Delhi,"4, State Bank Nagar, Outer Ring Road, Paschim Vihar, New Delhi",Paschim Vihar,"Paschim Vihar, New Delhi",,-42.206274079274976,"South Indian, North Indian, Chinese",,Indian Rupees(Rs.),Yes,Yes,No,No,2.0,3.2,Orange,Average,
16611498,Stillwater on Belmore,14.0,Lorn,"27 Belmore Rd,, Lorn, NSW",Lorn,"Lorn, Lorn",151.558475,-32.728097,"Breakfast, Coffee and Tea",-37177.57166143142,Dollar($),No,No,No,No,,3.6,Yellow,Good,18.0
